"","age","I_30250","I_30400","I_30550","I_40250","I_40400","I_40550","I_50250","I_50400","I_50550","interception","Ckat_Tracing","Ckat_aiming","Ckat_Tracking","Open","Closed","Attainment_Maths"
"171",9.420944559,2,2,2,3,2,1,4,4,4,24,1.483646533,1.8406,14.9423585,1.610414,1.260385,7
"172",9.256673511,4,3,4,5,4,4,6,5,5,40,1.631959215,1.7946,13.773423,3.53627,1.807939,6
"173",9.3908282,5,5,2,5,4,2,6,5,4,38,0.873769612,1.6452,8.466922,0.728541,0.396896,6
"174",8.533880903,3,3,1,3,2,1,4,5,1,23,1.296226038,1.5084,16.3523825,1.6675,4.407231,6
"175",9.379876797,3,3,0,4,2,1,6,5,4,28,1.166365926,1.7334,12.0027935,3.431343,30.87083,6
"176",9.141683778,5,2,0,5,3,2,5,5,3,30,1.142322472,1.8562,10.9225485,2.51576,2.889385,9
"177",9.456536619,2,3,2,4,5,1,4,4,2,27,1.311524469,1.7634,20.627256,1.119687,3.107886,6
"178",9.412731006,3,3,1,5,2,2,5,3,4,28,1.154605918,1.4018,9.8176805,0.719157,1.360098,7
"179",9.185489391,3,1,3,4,2,3,6,3,2,27,1.724700995,1.9118,14.4605655,3.784687,7.750345,7
"180",9.25119781,5,3,3,5,6,4,6,6,4,42,1.708137851,1.5252,10.377493,3.627254,15.571134,6
"181",9.166324435,6,3,3,5,5,6,5,5,6,44,1.691653024,1.7544,31.289773,1.758961,6.683484,6
"182",9.453798768,3,3,5,6,3,3,6,4,4,37,1.478980114,1.3308,12.796663,1.225396,0.916171,9
"183",9.429158111,1,4,1,1,3,4,4,3,1,22,1.340465473,1.8256,16.272391,3.497292,6.611226,6
"184",9.045859001,5,4,2,4,2,1,6,4,3,31,1.562842162,1.7142,22.903818,1.217183,3.294399,8
"185",8.654346338,0,3,0,2,1,0,1,3,2,12,2.979986434,2.5698,30.289181,0.689498,0.861988,2
"186",8.982888433,3,2,1,3,4,4,3,5,4,29,1.228484395,1.733,14.702746,1.749925,1.001795,8
"187",8.911704312,3,2,5,3,3,3,5,4,4,32,1.690133045,1.821,18.116063,5.372226,5.1184,5
"188",8.815879535,4,3,5,4,5,2,6,4,4,37,1.323613067,1.6024,14.740661,0.873596,3.306573,5
"189",8.563997262,3,5,1,6,2,3,6,3,3,32,1.863057261,1.844,20.1197655,37.580613,12.218567,8
"190",8.569472964,3,1,1,4,5,4,6,4,3,31,1.521726448,1.5764,11.3803475,1.900692,1.185387,7
"191",8.826830938,5,5,1,4,4,5,6,5,3,38,1.085714212,1.4802,11.270908,3.523698,3.952993,6
"192",9.171800137,5,3,3,4,6,4,6,5,4,40,1.422414978,1.7462,14.2366635,3.784885,3.611797,5
"193",8.59137577,5,1,5,4,3,2,3,4,3,30,1.501551073,1.2922,11.9526655,24.475302,8.580328,8
"194",9.144421629,4,6,3,4,5,4,6,5,2,39,1.124056789,1.3706,10.861399,20.570678,17.773411,4
