participant,I_30250,I_30400,I_30550,I_40250,I_40400,I_40550,I_50250,I_50400,I_50550,interception,Open,Closed,age,Ckat_Tracking,Ckat_aiming,Ckat_Tracing,Attainment_Maths,Attainment_Reading,Attainment_Writing
349,2,2,2,0,2,2,4,2,4,20,2.812833,1.282598,11.42505133,16.8687275,1.4116,1.181143487,9,11,10
350,2,3,1,1,3,1,6,4,4,25,1.912135,2.940968,10.6146475,12.2431305,1.7584,1.430536874,7,9,7
351,2,4,3,2,3,3,5,4,4,30,1.012466,2.651492,11.36208077,9.6973445,1.7416,1.460118018,7,9,9
352,3,3,4,5,5,3,4,5,6,38,3.564831,3.392205,11.31827515,17.6062385,2.2262,1.234252806,7,6,7
353,1,2,3,2,3,3,5,4,2,25,2.331785,2.19455,10.81177276,12.8636495,,1.392361807,6,4,5
354,6,4,2,5,4,3,5,4,3,36,0.58781,1.358283,10.58179329,14.0055365,1.2864,1.132936033,4,7,8
355,5,5,3,4,4,3,6,5,5,40,44.77883,20.586699,10.74332649,9.3886885,1.424,1.113415511,11,13,10
356,4,4,6,5,6,3,6,6,6,46,5.887375,1.902186,10.52703628,8.8036825,1.6212,0.95260303,11,10,11
357,4,2,4,4,4,3,4,4,2,31,1.650921,2.133138,10.92402464,10.2191565,1.555,0.910251504,10,10,9
358,1,0,0,0,2,2,0,1,1,7,2.437849,1.060651,10.52429843,12.4801205,1.129,0.883283815,7,7,9
